"URN","SEND Narrative Snippet","Provider URL","PDF URL","Error"
"100000","They want all pupils, including those with special educational needs and/or disabilities (SEND), to access the full curriculum and become confident in all of their subjects.

In the report, 'disadvantaged pupils' is used to mean pupils with special educational needs and/or disabilities (SEND); pupils who meet the definition of children in need of help and protection; pupils receiving statutory local authority support from a social worker; and pupils who otherwise meet the criteria used for deciding the school's pupil premium funding (this includes pupils claiming free school meals at any point in the last six years, looked after children (children in local authority care) and/or children who left care through adoption or another formal route).

Inspectors discussed the impact of the pandemic with the school and have taken that into account in their evaluation of the school. - Inspectors met with the headteacher and members of the school senior leadership team. - Inspectors also met with governors, members of the City of London Corporation and a representative of the London Diocesan Board for Schools. - Inspectors carried out deep dives in these subjects: early reading, mathematics, history and music. - For each deep dive, inspectors held discussions about the curriculum, visited a sample of lessons, spoke to teachers, spoke to some pupils about their learning and looked at samples of pupils’ work. - Inspectors visited the early years provision and spoke to early years leaders and staff. - The early years provision of The Cass Child & Family Centre was not inspected during this inspection. - To evaluate the effectiveness of safeguarding, the inspectors: reviewed the single central record; took account of the views of leaders, staff and pupils; and considered the extent to which the school has created an open and positive culture around safeguarding that puts pupils’ interests first. - Inspectors visited clubs and activities and met with pupils and staff to evaluate the personal development of pupils at the school.","https://reports.ofsted.gov.uk/provider/21/100000","https://files.ofsted.gov.uk/v1/file/50252331",""
"103682","All pupils, including those with special educational needs and/or disabilities (SEND), are well supported in the classroom.

Staff adapt their teaching and resources to ensure that SEND pupils can make the progress of which they are capable.

It continues to ensure that there are appropriate Inspection report: Ravensdale Primary School 19 and 20 March 2024 2 learning plans in place and consistent standards across all subjects.","https://reports.ofsted.gov.uk/provider/21/103682","https://files.ofsted.gov.uk/v1/file/50246156",""
"106818","Teachers work closely with the school’s speech and language therapists to ensure pupils’ communication needs are assessed accurately and the right support is in place to allow pupils to access the curriculum.

These plans have been carefully devised to ensure pupils learn the necessary skills and knowledge across key stage 3 to support their studies in key stage 4.

They have created a curriculum that supports pupils to achieve well.","https://reports.ofsted.gov.uk/provider/25/106818","https://files.ofsted.gov.uk/v1/file/50232217",""
"100049","Pupils with special educational needs and/disabilities (SEND) have full access to the curriculum.

The school works closely with external experts to ensure that pupils receive the support they need.

In the report, ‘disadvantaged pupils’ is used to mean pupils with special educational needs and/or disabilities (SEND); pupils who meet the definition of children in need of help and protection; pupils receiving statutory local authority support from a social worker; and pupils who otherwise meet the criteria used for deciding the school’s pupil premium funding (this includes pupils claiming free school meals at any point in the last six years, looked after children (children in local authority care) and/or children who left care through adoption or another formal route).","https://reports.ofsted.gov.uk/provider/23/100049","https://files.ofsted.gov.uk/v1/file/50267948",""
"100050","Pupils, including those with special educational needs and/or disabilities (SEND), are exceptionally well supported.

Activities are adapted, where necessary, to ensure that all pupils access the same ambitious curriculum.

The ‘Parli Plus’ provision supports pupils by providing additional help with, for example, homework after school.","https://reports.ofsted.gov.uk/provider/23/100050","https://files.ofsted.gov.uk/v1/file/50251833",""
"100001","","","","No provider link found"
"100015","The needs of all pupils, including those with special educational needs and/or disabilities (SEND), are swiftly identified.

This has complemented the planned curriculum and led to pupils experiencing a real sense of adventure in their learning.

They have carefully analysed pupil absence and have put effective measures in place to support pupils to attend school regularly and on time.","https://reports.ofsted.gov.uk/provider/21/100015","https://files.ofsted.gov.uk/v1/file/50253169",""
"100051","They ensure that the needs of all pupils, including pupils with special educational needs and/or disabilities (SEND), are understood and met.

Sixth-form students are positive role models for younger pupils and readily provide support for their peers.

Teachers use this information to support pupils to access the curriculum successfully.","https://reports.ofsted.gov.uk/provider/23/100051","https://files.ofsted.gov.uk/v1/file/50211781",""
"105022","Pupils, including those with special educational needs and/or disabilities (SEND), achieve well.

In the report, ‘disadvantaged pupils’ is used to mean pupils with special educational needs and/or disabilities (SEND); pupils who meet the definition of children in need of help and protection; pupils receiving statutory local authority support from a social worker; and pupils who otherwise meet the criteria used for deciding the school’s pupil premium funding (this includes pupils claiming free school meals at any point in the last six years, looked after children (children in local authority care) and/or children who left care through adoption or another formal route).

Staff are well trained to ensure that they adapt their delivery of the curriculum to meet these needs.","https://reports.ofsted.gov.uk/provider/21/105022","https://files.ofsted.gov.uk/v1/file/50266160",""
"100052","Leaders and teachers make sure that this curriculum is accessible to all pupils, including those with special educational needs and/or disabilities (SEND).

Pupils with SEND access the same ambitious curriculum as their peers, and they achieve well.

They provide support and challenge to leaders, and they regularly speak with parents and carers, pupils and staff.","https://reports.ofsted.gov.uk/provider/23/100052","https://files.ofsted.gov.uk/v1/file/50220447",""
